iter	RMSE
839	0.3637981231
840	0.3637718546
841	0.3637561999
842	0.3637332977
843	0.3637103317
844	0.3636843933
845	0.3636731461
846	0.3636568248
847	0.3636466368
848	0.3636394823
849	0.3636156202
850	0.3635753873
851	0.3635431935
852	0.3635169944
853	0.3634796639
854	0.3634487472
855	0.3634067577
856	0.3633828627
857	0.3633583883
858	0.3633500571
859	0.3633304538
860	0.3633090886
861	0.3632833099
862	0.3632604726
863	0.3632506664
864	0.36322207
865	0.3632141476
866	0.3631842993
867	0.3631749155
868	0.3631542322
869	0.3631110948
870	0.3630730493
871	0.3630564896
872	0.3630358047
873	0.3630145409
874	0.3629891668
875	0.3629592577
876	0.3629379868
877	0.3629117345
878	0.3628890994
879	0.3628599039
880	0.3628447465
881	0.3628096227
882	0.3627879207
883	0.3627505307
884	0.3627068935
885	0.3626744928
886	0.3626390359
887	0.3626049741
888	0.3625666825
889	0.3625357232
890	0.3624975819
891	0.3624803446
892	0.3624312604
893	0.3623886199
894	0.3623549031
895	0.3623317568
896	0.3622929304
897	0.3622523145
898	0.3622252539
899	0.3622030361
900	0.362191606
901	0.3621584703
902	0.3621257292
903	0.3620941002
904	0.3620673695
905	0.3620415965
906	0.3619982467
907	0.3619780814
908	0.3619551898
909	0.3619258799
910	0.3618963608
911	0.3618765768
912	0.3618611859
913	0.3618401659
914	0.3618032578
915	0.361785631
916	0.3617659639
917	0.3617358633
918	0.3617148598
919	0.3616684551
920	0.3616462638
921	0.3616209513
922	0.3615955434
923	0.3615827301
924	0.3615461038
925	0.3615299964
926	0.3615232881
927	0.3614820538
928	0.3614681437
929	0.3614549193
930	0.3614282093
931	0.3614034365
932	0.3613800442
933	0.3613694307
934	0.3613460865
935	0.3613288788
936	0.361305627
937	0.3612842142
938	0.361263086
939	0.3612439823
940	0.361223677
941	0.3611976031
942	0.3611800512
943	0.361146799
944	0.3611275597
945	0.3611141871
946	0.3610923436
947	0.3610564889
948	0.3610397554
949	0.3610014355
950	0.3609733299
951	0.3609544598
952	0.3609333723
953	0.3609196162
954	0.3609025027
955	0.3608599274
956	0.3608405823
957	0.360819721
958	0.3607972392
959	0.3607696231
960	0.3607423012
961	0.3606875325
962	0.3606608551
963	0.3606210917
964	0.3606027776
965	0.3605894011
966	0.3605672343
967	0.3605497831
968	0.3605317929
969	0.3605053404
970	0.3604866817
971	0.3604523417
972	0.3604261922
973	0.3603866588
974	0.3603682469
975	0.3603355724
976	0.3603110979
977	0.3602736449
978	0.3602507362
979	0.3602229196
980	0.3601964324
981	0.3601667871
982	0.3601289838
983	0.360112717
984	0.3600960442
985	0.360083402
986	0.3600547908
987	0.3600304412
988	0.360011367
989	0.3599832682
990	0.3599670552
991	0.3599255985
992	0.3599016096
993	0.359894964
994	0.3598747216
995	0.359853062
996	0.3598251666
997	0.3598103014
998	0.3597844138
999	0.3597627469
